0,50,150,50
1,0,100,150
2,50,50,200
3,100,0,250
4,150,50,200
5,200,100,150
6,250,150,100
7,200,200,50
8,150,250,0
9,100,200,50
10,50,150,100
11,0,100,150
12,50,50,200
13,100,0,250
14,150,50,200
15,200,100,150
16,250,150,100
17,200,200,50
18,150,250,0
19,100,200,50
20,50,150,100
21,0,100,150
22,50,50,200
23,100,0,250
24,150,50,200
25,200,100,150
26,250,150,100
27,200,200,50
28,150,250,0
29,100,200,50
30,50,150,100
31,0,100,150
32,50,50,200
33,100,0,250
34,150,50,200
35,200,100,150
36,250,150,100
37,200,200,50
38,150,250,0
39,100,200,50
40,50,150,100
41,0,100,150
42,50,50,200
43,100,0,250
44,150,50,200
45,200,100,150
46,250,150,100
47,200,200,50
48,150,250,0
49,100,200,50
50,50,150,100
