0,50,200,50
1,0,150,100
2,50,100,150
3,100,50,200
4,150,0,250
5,200,50,200
6,250,100,150
7,200,150,100
8,150,200,50
9,100,250,0
10,50,200,50
11,0,150,100
12,50,100,150
13,100,50,200
14,150,0,250
15,200,50,200
16,250,100,150
17,200,150,100
18,150,200,50
19,100,250,0
20,50,200,50
21,0,150,100
22,50,100,150
23,100,50,200
24,150,0,250
25,200,50,200
26,250,100,150
27,200,150,100
28,150,200,50
29,100,250,0
30,50,200,50
31,0,150,100
32,50,100,150
33,100,50,200
34,150,0,250
35,200,50,200
36,250,100,150
37,200,150,100
38,150,200,50
39,100,250,0
40,50,200,50
41,0,150,100
42,50,100,150
43,100,50,200
44,150,0,250
45,200,50,200
46,250,100,150
47,200,150,100
48,150,200,50
49,100,250,0
50,50,200,50
0,0,150,100
1,50,100,150
2,100,50,200
3,150,0,250
4,200,50,200
5,250,100,150
6,200,150,100
7,150,200,50
8,100,250,0
9,50,200,50
10,0,150,100
11,50,100,150
12,100,50,200
13,150,0,250
14,200,50,200
15,250,100,150
16,200,150,100
17,150,200,50
18,100,250,0
19,50,200,50
20,0,150,100
21,50,100,150
22,100,50,200
23,150,0,250
24,200,50,200
25,250,100,150
26,200,150,100
27,150,200,50
28,100,250,0
29,50,200,50
30,0,150,100
31,50,100,150
32,100,50,200
33,150,0,250
34,200,50,200
35,250,100,150
36,200,150,100
37,150,200,50
38,100,250,0
39,50,200,50
40,0,150,100
41,50,100,150
42,100,50,200
43,150,0,250
44,200,50,200
45,250,100,150
46,200,150,100
47,150,200,50
48,100,250,0
49,50,200,50
50,0,150,100
0,50,100,150
1,100,50,200
2,150,0,250
3,200,50,200
4,250,100,150
5,200,150,100
6,150,200,50
7,100,250,0
8,50,200,50
9,0,150,100
10,50,100,150
11,100,50,200
12,150,0,250
13,200,50,200
14,250,100,150
15,200,150,100
16,150,200,50
17,100,250,0
18,50,200,50
19,0,150,100
20,50,100,150
21,100,50,200
22,150,0,250
23,200,50,200
24,250,100,150
25,200,150,100
26,150,200,50
27,100,250,0
28,50,200,50
29,0,150,100
30,50,100,150
31,100,50,200
32,150,0,250
33,200,50,200
34,250,100,150
35,200,150,100
36,150,200,50
37,100,250,0
38,50,200,50
39,0,150,100
40,50,100,150
41,100,50,200
42,150,0,250
43,200,50,200
44,250,100,150
45,200,150,100
46,150,200,50
47,100,250,0
48,50,200,50
49,0,150,100
50,50,100,150
0,100,50,200
1,150,0,250
2,200,50,200
3,250,100,150
4,200,150,100
5,150,200,50
6,100,250,0
7,50,200,50
8,0,150,100
9,50,100,150
10,100,50,200
11,150,0,250
12,200,50,200
13,250,100,150
14,200,150,100
15,150,200,50
16,100,250,0
17,50,200,50
18,0,150,100
19,50,100,150
20,100,50,200
21,150,0,250
22,200,50,200
23,250,100,150
24,200,150,100
25,150,200,50
26,100,250,0
27,50,200,50
28,0,150,100
29,50,100,150
30,100,50,200
31,150,0,250
32,200,50,200
33,250,100,150
34,200,150,100
35,150,200,50
36,100,250,0
37,50,200,50
38,0,150,100
39,50,100,150
40,100,50,200
41,150,0,250
42,200,50,200
43,250,100,150
44,200,150,100
45,150,200,50
46,100,250,0
47,50,200,50
48,0,150,100
49,50,100,150
50,100,50,200
0,150,0,250
1,200,50,200
2,250,100,150
3,200,150,100
4,150,200,50
5,100,250,0
6,50,200,50
7,0,150,100
8,50,100,150
9,100,50,200
10,150,0,250
11,200,50,200
12,250,100,150
13,200,150,100
14,150,200,50
15,100,250,0
16,50,200,50
17,0,150,100
18,50,100,150
19,100,50,200
20,150,0,250
21,200,50,200
22,250,100,150
23,200,150,100
24,150,200,50
25,100,250,0
26,50,200,50
27,0,150,100
28,50,100,150
29,100,50,200
30,150,0,250
31,200,50,200
32,250,100,150
33,200,150,100
34,150,200,50
35,100,250,0
36,50,200,50
37,0,150,100
38,50,100,150
39,100,50,200
40,150,0,250
41,200,50,200
42,250,100,150
43,200,150,100
44,150,200,50
45,100,250,0
46,50,200,50
47,0,150,100
