0,50,100,200
1,0,50,250
2,50,0,200
3,100,50,150
4,150,100,100
5,200,150,50
6,250,200,0
7,200,250,50
8,150,200,100
9,100,150,150
10,50,100,200
11,0,50,250
12,50,0,200
13,100,50,150
14,150,100,100
15,200,150,50
16,250,200,0
17,200,250,50
18,150,200,100
19,100,150,150
20,50,100,200
21,0,50,250
22,50,0,200
23,100,50,150
24,150,100,100
25,200,150,50
26,250,200,0
27,200,250,50
28,150,200,100
29,100,150,150
30,50,100,200
31,0,50,250
32,50,0,200
33,100,50,150
34,150,100,100
35,200,150,50
36,250,200,0
37,200,250,50
38,150,200,100
39,100,150,150
40,50,100,200
41,0,50,250
42,50,0,200
43,100,50,150
44,150,100,100
45,200,150,50
46,250,200,0
47,200,250,50
48,150,200,100
49,100,150,50
50,50,100,0
