0,50,50,200
1,0,0,150
2,50,50,100
3,100,100,50
4,150,150,0
5,200,200,50
6,250,250,100
7,200,200,150
8,150,150,200
9,100,100,250
10,50,50,200
11,0,0,150
12,50,50,100
13,100,100,50
14,150,150,0
15,200,200,50
16,250,250,100
17,200,200,150
18,150,150,200
19,100,100,250
20,50,50,200
21,0,0,150
22,50,50,100
23,100,100,50
24,150,150,0
25,200,200,50
26,250,250,100
27,200,200,150
28,150,150,200
29,100,100,250
30,50,50,200
31,0,0,150
32,50,50,100
33,100,100,50
34,150,150,0
35,200,200,50
36,250,250,100
37,200,200,150
38,150,150,200
39,100,100,250
40,50,50,200
41,0,0,150
42,50,50,100
43,100,100,50
44,150,150,0
45,200,200,50
46,250,250,100
47,200,200,50
48,150,150,0
49,100,100,50
50,50,50,100
